2025-11-25T16:32:40.197Z [INFO] 🚀 Server running on port 5000 
2025-11-25T16:32:40.198Z [INFO] 📱 API endpoints available at http://localhost:5000/api 
2025-11-25T16:32:40.198Z [INFO] 🌍 Environment: development 
2025-11-25T16:48:05.955Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T11:25:59.657Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:26:00.964Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:26:32.733Z [INFO] POST /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:26:35.634Z [INFO] POST /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:26:43.232Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:26:44.418Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:28:14.159Z [INFO] POST /api/auth/register {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:28:28.134Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:28:29.003Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:28:29.037Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:28:32.604Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:28:33.832Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:34:50.711Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T11:34:50.712Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:17:08.292Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:17:18.445Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:17:20.286Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:17:22.556Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:17:25.999Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:17:31.367Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:17:40.116Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:23:25.552Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:52:49.742Z [INFO] POST /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:53:04.161Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T15:53:08.132Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T16:21:18.136Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T16:21:40.922Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T16:23:02.793Z [INFO] POST /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T16:23:13.949Z [INFO] POST /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T16:30:09.493Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T16:30:34.273Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T16:30:44.350Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T16:31:01.030Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T16:31:12.632Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T16:31:28.614Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:03:16.596Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:03:17.729Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:03:21.572Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:03:33.550Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:04:11.941Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:05:35.687Z [INFO] POST /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:05:45.522Z [INFO] POST /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:16:44.914Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T17:18:22.244Z [INFO] SIGINT received, shutting down gracefully 
2025-11-27T17:18:38.497Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:18:40.754Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-11-27T17:19:22.488Z [INFO] POST /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T09:55:45.243Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T09:55:47.677Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T10:00:37.311Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T10:06:22.996Z [INFO] SIGINT received, shutting down gracefully 
2025-12-01T14:44:47.088Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T14:44:49.369Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T14:45:03.728Z [INFO] SIGINT received, shutting down gracefully 
2025-12-01T14:45:25.755Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T14:45:28.962Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T15:56:20.450Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T16:00:24.402Z [INFO] GET /api/admin/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T16:00:59.807Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T16:01:00.570Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T16:01:00.609Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T16:01:03.314Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T16:01:05.180Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T16:01:27.365Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-01T16:01:27.368Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T06:04:14.635Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T06:04:14.676Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T06:25:31.261Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T06:25:31.269Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T06:25:42.513Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T06:35:55.505Z [INFO] SIGINT received, shutting down gracefully 
2025-12-02T06:37:41.542Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T06:37:41.565Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T06:38:04.567Z [INFO] SIGINT received, shutting down gracefully 
2025-12-02T06:38:22.541Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T06:38:22.555Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T15:26:52.922Z [INFO] SIGINT received, shutting down gracefully 
2025-12-02T15:27:27.032Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T15:27:27.042Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:15:06.614Z [INFO] SIGINT received, shutting down gracefully 
2025-12-02T16:15:25.623Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:15:25.630Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:33:16.715Z [INFO] SIGINT received, shutting down gracefully 
2025-12-02T16:33:28.739Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:33:28.751Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:33:40.994Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:43:00.542Z [INFO] SIGINT received, shutting down gracefully 
2025-12-02T16:43:12.821Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:43:12.828Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:47:37.745Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:47:37.747Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:48:36.559Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:51:50.661Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:51:51.136Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:51:51.176Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:52:00.858Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:53:44.632Z [INFO] SIGINT received, shutting down gracefully 
2025-12-02T16:53:57.196Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:53:57.204Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T16:55:09.381Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:04:48.664Z [INFO] SIGINT received, shutting down gracefully 
2025-12-02T17:05:00.619Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:05:00.626Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:05:06.818Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:05:09.566Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:11:10.737Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:11:10.739Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:11:25.208Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:11:31.841Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:17:59.176Z [INFO] SIGINT received, shutting down gracefully 
2025-12-02T17:18:41.185Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:18:41.194Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:18:43.355Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:40:31.550Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:40:31.553Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:40:34.218Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-02T17:40:39.375Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:30:03.672Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:30:03.687Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:30:30.389Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:30:39.527Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:39:45.588Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:39:45.597Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:39:49.570Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:39:51.588Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:41:46.284Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:41:46.287Z [INFO] GET /api/fields {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:41:50.252Z [INFO] GET /api/bookings/my-bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:41:52.995Z [INFO] GET /api/auth/profile {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:42:24.219Z [INFO] POST /api/auth/login {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
2025-12-03T06:42:30.051Z [INFO] GET /api/admin/bookings {"ip":"127.0.0.1","userAgent":"okhttp/4.11.0"}
